Name,PetID,Age,age_group,gender_label,breed1_label,breed2_label,clip_breed_1,clip_breed_1_score,clip_breed_2,clip_breed_2_score,maturity_size_label,breed_score,breed_explanation,structured_score,bert_similarity,clip_image_text_similarity,final_score,clip_num_images_used_for_similarity
Kris,cccd87749,2,puppy,female,Mixed Breed,,Australian Kelpie,0.0056849960237741,German Shepherd Dog,0.0056392680853605,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.9097157,0.6341142654418945,0.8225460678339005,1
Ma Black,bb32a589b,36,adult,female,Mixed Breed,,Akbash,0.0057055288925766,Australian Kelpie,0.0056935995817184,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.9011932,0.6459212154150009,0.8221864826977253,1
Gabby,86547ad6d,5,puppy,female,Mixed Breed,,Schipperke,0.0057159485295414,Australian Kelpie,0.0056841475889086,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.89318025,0.6590855568647385,0.8221578963100911,5
Coco,259b10a3e,2,puppy,female,Mixed Breed,,Black and Tan Coonhound,0.0056731775403022,Miniature Pinscher,0.0056663234718143,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.9063326,0.6295371055603027,0.8210137188434601,1
Labrador + Ridgeback Female,d5b9e0322,5,puppy,female,Labrador Retriever,,Manchester Terrier,0.0057760626077651,Miniature Pinscher,0.0057643116451799,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.89115155,0.6548111438751221,0.8210095584392547,8
Orkim,a9b7b72b4,6,puppy,female,Doberman Pinscher,Mixed Breed,Toy Fox Terrier,0.0057156928814947,Australian Kelpie,0.0057155024260282,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.9033832,0.6338175982236862,0.8209184385836125,1
Bingo,10e723583,4,puppy,female,Mixed Breed,,Manchester Terrier,0.0056496183387935,Miniature Pinscher,0.0056306524202227,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8965034,0.6443203389644623,0.8207738980650902,5
Dolly,cc463360a,6,puppy,female,Mixed Breed,,Australian Kelpie,0.0057667423970997,Miniature Pinscher,0.0056970044970512,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8868516,0.6572107076644897,0.8202945083379746,4
Xiao Hei,218f8bb3a,24,adult,female,Mixed Breed,,Black Labrador Retriever,0.0057974783703684,Labrador Retriever,0.005748342256993,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8960041,0.6402010321617126,0.8200311750173569,2
Beauty,67d0b57eb,5,puppy,female,Mixed Breed,,Black Labrador Retriever,0.0056063686497509,Dutch Shepherd,0.0055967802181839,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.89890814,0.6325361132621765,0.8196074515581131,2
Mixed Breed Black Puppy,51b7034e6,5,puppy,female,Mixed Breed,,Schipperke,0.0057089631445705,Scottish Terrier,0.0056336401030421,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.88858926,0.6491461247205734,0.8195192344486714,2
No Name,4194f0f66,2,puppy,female,Mixed Breed,,Australian Kelpie,0.00562423793599,Shiba Inu,0.005602381657809,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8985626,0.6309912204742432,0.8192893356084824,1
Blinky,db5d27601,12,young,female,Mixed Breed,,Dutch Shepherd,0.0057607926428318,Australian Kelpie,0.0057269353419542,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8865106,0.6510044038295746,0.8192783132195472,2
Friday Girl,844dfd2b4,12,young,female,Mixed Breed,,Akbash,0.0056405109353363,Australian Kelpie,0.0056382110342383,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.89360595,0.6387869715690613,0.819219532608986,4
Branddy,792e8c192,48,adult,female,Terrier,Mixed Breed,Akbash,0.0056458502076566,Kai Dog,0.0056273266673088,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.88730645,0.6487556993961334,0.8191399678587914,2
Puppy,861d65847,1,puppy,female,Mixed Breed,Rottweiler,Miniature Pinscher,0.0057181483134627,Manchester Terrier,0.005685300566256,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.88892853,0.6437598615884781,0.8187961123883725,10
Hey Hey,8ae60c34e,36,adult,female,Mixed Breed,Australian Shepherd,Australian Kelpie,0.0057301721535623,Belgian Shepherd Dog Sheepdog,0.0057256082072854,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.88497305,0.6499881446361542,0.8187414839863777,3
Dorbee,9a6f2f7d3,8,young,female,Doberman Pinscher,,Manchester Terrier,0.0058570252731442,Doberman Pinscher,0.0058437087573111,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.87824357,0.6586664021015167,0.8183608517050743,5
Jamie,dbe634a4c,6,puppy,female,German Shepherd Dog,Mixed Breed,Beauceron,0.0057834303006529,Australian Kelpie,0.0057747275568544,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8799852,0.6528206467628479,0.8179194003343582,2
Bambi,2398599fc,5,puppy,female,Mixed Breed,,Manchester Terrier,0.0058783572167158,Australian Kelpie,0.005823272280395,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8766332,0.658048689365387,0.8178656101226807,1
,8cae4a15b,14,young,female,Doberman Pinscher,Mixed Breed,Chocolate Labrador Retriever,0.0057275407016277,Australian Kelpie,0.0056928298436105,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.87729365,0.6509869396686554,0.8169714525341988,2
Pinky,5bbf44cea,24,adult,female,Mixed Breed,Miniature Pinscher,Manchester Terrier,0.0059165679849684,Miniature Pinscher,0.0058100176975131,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8786025,0.6487377285957336,0.8169612854719162,2
Multy & Xanie,18810b958,4,puppy,female,Mixed Breed,Mixed Breed,Australian Cattle Dog/Blue Heeler,0.0057662613689899,Akbash,0.0056308023631572,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8829796,0.6397759020328522,0.8167112782597542,5
Puppy Monster,ee15edbb0,3,puppy,female,Mixed Breed,,Miniature Pinscher,0.0057124774903059,Australian Kelpie,0.00569121632725,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.88095105,0.6426928788423538,0.8166416935622692,1
Miko,5842f1ff5,4,puppy,female,Mixed Breed,,Lowchen,0.005618171300739,Kai Dog,0.0055901100859045,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.884876,0.6341540664434433,0.8163421131670475,8
Bailey,f4614847a,2,puppy,female,Mixed Breed,,Miniature Pinscher,0.0056768283247947,Chihuahua,0.0056697907857596,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8842466,0.6341933310031891,0.8161906465888024,3
,aa189a931,12,young,female,Mixed Breed,,German Pinscher,0.0056845149956643,Miniature Pinscher,0.0056791021488606,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.87538844,0.646727591753006,0.8158562496304512,2
Rottweiler-Mongrel Mix,9b2aaf395,4,puppy,female,Rottweiler,Mixed Breed,Australian Kelpie,0.0056444806978106,Australian Cattle Dog/Blue Heeler,0.0056119500659406,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8840014,0.6323095858097076,0.8158467814326287,2
Gwennie,cbf20c4b0,42,adult,female,Mixed Breed,,Schipperke,0.0058648623526096,Australian Kelpie,0.0057419151999056,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8831886,0.629103347659111,0.8151626534759998,2
I'm Happy,b52b8d946,24,adult,female,Mixed Breed,,Beauceron,0.0057794232852756,Manchester Terrier,0.0057668862864375,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8749701,0.6419094800949097,0.8150289416313171,1
May,21b90ff68,14,young,female,Mixed Breed,,Schipperke,0.0057470365427434,Dutch Shepherd,0.0057233325205743,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.87663627,0.6378704309463501,0.814839631319046,2
Dingo,7d6d03de2,72,adult,female,Spitz,German Shepherd Dog,Schipperke,0.0057091787457466,Belgian Shepherd Dog Sheepdog,0.0056661395356059,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8672638,0.651698112487793,0.8145706653594971,2
Debi,2fc753430,2,puppy,female,Mixed Breed,,Australian Kelpie,0.0057706297375261,Akbash,0.0056958403438329,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8687359,0.6489997208118439,0.8145339354872704,2
Lady,747c82f83,2,puppy,female,Mixed Breed,,Rottweiler,0.0056241783313453,Kai Dog,0.0056173298507928,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8743892,0.6385071575641632,0.8143733665347099,9
Miley,b47109e90,2,puppy,female,Mixed Breed,,Miniature Pinscher,0.0058398027904331,German Pinscher,0.0057678539305925,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8646574,0.6544966250658035,0.8143388442695141,5
Lu Lu,c8779a4a1,2,puppy,female,Mixed Breed,,Australian Kelpie,0.0056390678510069,Miniature Pinscher,0.0056353034451603,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8796098,0.6277409344911575,0.8140635959804058,3
Cory,bf7ee1354,1,puppy,female,Mixed Breed,,Schipperke,0.0056940908543765,Manchester Terrier,0.0056023220531642,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.873515,0.6356241405010223,0.8137223735451699,7
Tiny,518e71b74,4,puppy,female,Miniature Pinscher,Mixed Breed,Akbash,0.0056996000930666,Miniature Pinscher,0.0056885369122028,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8667979,0.646398276090622,0.8136592224240303,11
Pretty Baby Girl,249112486,2,puppy,female,Mixed Breed,Mixed Breed,Australian Kelpie,0.0056191924959421,Black and Tan Coonhound,0.005604509729892,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8715094,0.6368161588907242,0.8133997671306133,1
Faithful <3,e2b5913e7,8,young,female,Mixed Breed,,Australian Kelpie,0.0056560426019132,Rat Terrier,0.0056453072465956,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8655901,0.6465765982866287,0.8133840136229992,3
May May,63f7cacce,3,puppy,female,Mixed Breed,,Australian Kelpie,0.005767255090177,Canaan Dog,0.0057416069321334,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.86423886,0.6483815461397171,0.8133169464766979,3
Vivo & Venti - Petaling Jaya,727b7e63a,1,puppy,female,Mixed Breed,,Australian Kelpie,0.0055544511415064,Lowchen,0.0055497623980045,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.87387836,0.6318741738796234,0.8132507160305977,7
Cutie,341420028,3,puppy,female,Mixed Breed,Rottweiler,Beauceron,0.0056802975013852,Australian Kelpie,0.005676370114088,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8645283,0.644861102104187,0.8128612399101257,4
Fanie,28cc87730,2,puppy,female,Mixed Breed,,Beauceron,0.0056845117360353,Australian Cattle Dog/Blue Heeler,0.0056077381595969,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8613294,0.6491560339927673,0.8127057492733002,6
Dreamer - ( German Sherped Mix),92f84c5b7,5,puppy,female,Mixed Breed,,Australian Kelpie,0.0057584247551858,Belgian Shepherd Dog Sheepdog,0.0057546184398233,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8561719,0.6577082574367523,0.8126992151141167,15
2 Little Puppies,3ba4ccb80,1,puppy,female,Mixed Breed,,Schipperke,0.0056744939647614,Black Labrador Retriever,0.0056328675709664,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8723519,0.6302666962146759,0.8126279756426811,5
Aimee,7d2e1dd01,2,puppy,female,Mixed Breed,,Finnish Spitz,0.0055852215737104,Kai Dog,0.0055569787509739,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0055): +0.5",0.8333333333333334,0.875,0.6253744065761566,0.8125561609864235,1
Ruby,d080818c3,24,adult,female,German Shepherd Dog,Mixed Breed,German Pinscher,0.0057167778722941,Miniature Pinscher,0.0056778541766107,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8604977,0.6494239866733551,0.8125380262732506,3
Charmaine,1930bcf64,2,puppy,female,Mixed Breed,,Schipperke,0.0057408907450735,Dutch Shepherd,0.0056870933622121,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.875,0.6249601244926453,0.8124940186738968,1
BB Girl,34090e9d6,2,puppy,female,Mixed Breed,,Miniature Pinscher,0.0056808697991073,Australian Cattle Dog/Blue Heeler,0.0056657050736248,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.86122906,0.6477985382080078,0.812477046251297,3
Maxie,1e1727250,10,young,female,Mixed Breed,,Schipperke,0.0057538403198122,Dutch Shepherd,0.0057321591302752,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8559701,0.6559866219758987,0.8123905144631862,10
Bibi,b25c2d2d1,24,adult,female,Miniature Pinscher,Mixed Breed,Australian Kelpie,0.0057217772118747,Akbash,0.0057206368073821,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8570416,0.6514445841312408,0.8119770869612694,4
Miss Poppy,b3ff03304,3,puppy,female,Labrador Retriever,Mixed Breed,Labrador Retriever,0.0056751840747892,Black Labrador Retriever,0.005645003169775,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0055): +0.5",0.8333333333333334,0.8688778,0.631478801369667,0.8119412772357464,3
Ebony & Whisper,bd56db16a,4,puppy,female,Labrador Retriever,Mixed Breed,Schipperke,0.0056336899287998,Lowchen,0.0056324126198887,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.85725296,0.6505680084228516,0.8118984401226044,5
Chelsea And DuDu,c3208c19d,3,puppy,female,Mixed Breed,Mixed Breed,Australian Kelpie,0.0056780325248837,Kai Dog,0.0056650661863386,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8581015,0.6476584672927856,0.8116741418838501,2
Cookie,7a12a494f,3,puppy,female,Mixed Breed,Mixed Breed,Manchester Terrier,0.0056288470514118,German Pinscher,0.0056092026643455,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8609195,0.6411223262548447,0.8113982178270817,9
Happy,966598774,19,young,female,Mixed Breed,,Miniature Pinscher,0.0057639707811176,Australian Kelpie,0.0057631679810583,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8547803,0.6497598141431808,0.8111590512096882,3
Tropicana Puppies,69d413ff2,2,puppy,female,Golden Retriever,Mixed Breed,Rottweiler,0.0056150034070014,Kai Dog,0.0056014759466052,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.86544675,0.6316993981599808,0.8111165963113308,15
Ramsey,7c17de5f6,1,puppy,female,Doberman Pinscher,Mixed Breed,Rottweiler,0.0056433347053825,Australian Kelpie,0.0055818171240389,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.86429,0.6288177967071533,0.8103951692581177,3
,4a66f74ff,2,puppy,female,Mixed Breed,,Rottweiler,0.0057363240048289,Australian Kelpie,0.0056475279852747,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8539159,0.6456427425146103,0.8103253938257694,4
Orange,daed4ac40,2,puppy,female,Mixed Breed,,Australian Kelpie,0.0056594442576169,Australian Cattle Dog/Blue Heeler,0.00565846869722,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8590645,0.6347924619913101,0.8099849991500377,3
,bca8b44ae,1,puppy,female,Rottweiler,Mixed Breed,Rottweiler,0.0057159597054123,Australian Kelpie,0.0056581431999802,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.85644925,0.6369403898715973,0.8096533700823784,3
Bunny,fa1a30192,2,puppy,female,Mixed Breed,,Australian Shepherd,0.0057474253699183,Collie,0.005669817328453,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8536995,0.6409224271774292,0.8095632404088974,2
Blackie,bbff353ce,2,puppy,female,Mixed Breed,,Schipperke,0.0056671779602766,Australian Cattle Dog/Blue Heeler,0.0056230048649013,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8587332,0.6266972422599792,0.8086878806352615,1
Suzy,f94ea9d92,2,puppy,female,Mixed Breed,,Australian Kelpie,0.0056615276262164,Black Labrador Retriever,0.0056520225480198,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8538761,0.634019523859024,0.808571957051754,2
Pepper(pots),9d3d3b938,6,puppy,female,Mixed Breed,,Italian Greyhound,0.0057294145226478,Australian Kelpie,0.0056980038061738,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8497813,0.6399023979902267,0.8084306783974171,2
Girl Girl,c16df543f,2,puppy,female,Mixed Breed,Mixed Breed,Australian Cattle Dog/Blue Heeler,0.00573998875916,Australian Kelpie,0.0056811450049281,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0057): +0.5",0.8333333333333334,0.8411406,0.6505532562732697,0.8078681454062462,4
Nicky,54224dada,7,puppy,female,Mixed Breed,,Lowchen,0.0056350366212427,Australian Kelpie,0.0056230584159493,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.84680563,0.6397505849599838,0.8076639957726002,4
Lulu,577d15fea,3,puppy,female,Mixed Breed,,Lowchen,0.0056455889716744,Kai Dog,0.0056118229404091,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8530103,0.6228987649083138,0.8066873889416456,1
Ah Choy,d2dd7e8c2,12,young,female,Mixed Breed,,Schipperke,0.0058258511126041,Australian Kelpie,0.0057575833052396,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8381388,0.635145977139473,0.8048066012561321,1
Need Urgent Home..pls Adopt,80fcac43d,2,puppy,female,Mixed Breed,,Miniature Pinscher,0.0057412213645875,Manchester Terrier,0.0056875180453062,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.83297414,0.6426811069250107,0.8046457000076771,28
Kiki,17a5487d2,4,puppy,female,Mixed Breed,,Australian Cattle Dog/Blue Heeler,0.0057709515094757,Australian Kelpie,0.0057539651170372,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8253057,0.6547310948371887,0.8045360893011093,4
Missie,03c323fcf,2,puppy,female,Black Labrador Retriever,Mixed Breed,Miniature Pinscher,0.0056856865994632,Dachshund,0.0056782430037856,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8347847,0.634446382522583,0.8038631290197372,3
Joey,6a5c652b5,4,puppy,female,Mixed Breed,,Australian Kelpie,0.0057609379291534,German Pinscher,0.0057107252068817,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0058): +0.5",0.8333333333333334,0.8353896,0.6331502795219421,0.8038199454545975,1
MAYA,084874570,10,young,female,Labrador Retriever,Golden Retriever,Akbash,0.0056438385508954,Australian Kelpie,0.0056334268301725,medium,0.5,"razza calcolata da CLIP corrisponde (Australian Kelpie, score CLIP=0.0056): +0.5",0.8333333333333334,0.8306233,0.6378688216209412,0.8033361554145813,2
