final_score,structured_score,breed_score,bert_similarity,PetID,Name,breed1_label,breed2_label,Age,age_group,gender_label,maturity_size_label,fur_length_label,Vaccinated,Dewormed,Sterilized,Health,Fee,PhotoAmt,Description
0.8843,0.8636,1.0,0.9326,5b22f97b3,Star@Thursday,Labrador Retriever,Terrier,2,puppy,male,medium,short,1,1,2,1,0,10.0,"Thursday has a small white starfish on his chest, hence his nickname Star. He is adorable and a real doggie star. Playful and alert, a macho dog. A good watchdog too. He is among seven pups born Aug . Their mom, YT, is a terrier cross. Vaccination and neutering are COMPULSORY, to be paid by adopter. Please take note that pups require a lot of care and patience. Not recommended for those with long working hours and have no experience with dogs. Please call if interested."
0.8838,0.8636,1.0,0.9309,f72d7a939,Dada,Labrador Retriever,Mixed Breed,1,puppy,female,medium,short,2,2,2,1,0,4.0,"Dada is a cute puppy that was born on the 9 of July , during the World Cup Season. She has been meticulously taken care of and given the best dog food so far. I am absolutely certain that if you choose to adopt Dada, surely she will add colour to your life and she will also be a good guard dog."
0.8837,0.8636,1.0,0.9304,37bf6da18,Puppy,Golden Retriever,Rottweiler,6,puppy,female,medium,short,1,1,3,1,100,1.0,"It is born by our 2 adult dogs, which are golden retriever and rottweiler breed. This puppy is getting stronger and it needs to be taken care by a nice owner who are able to train and spend time with it."
0.8835,0.8636,1.0,0.9297,fee5e43b2,Bernie,Labrador Retriever,,9,young,female,medium,medium,3,3,3,1,0,3.0,"She resembles a young black retriever, extremely friendly and playful, very loving and has gotten really attached to us. I will let the pictures speak as to how beautiful she is. We would really like to find her a new loving home because we have too many pets. Please, if you are interested or know anyone who is looking for a beautiful dog, please direct them to me. I am happy to share more pictures/videos to show you how lovely she is and how much she deserves a good home."
0.8834,0.8636,1.0,0.9294,eddd81378,COUGAR,Labrador Retriever,Mixed Breed,14,young,male,medium,medium,2,2,2,1,0,4.0,Cougar is a very healthy and lovable dog. He is pure white in colour and has beautiful brown eyes. He understands simple english and is well trained. Very playful and likes attention. He was born in March . I would like to put up Cougar for adoption as I will be migrating soon.
0.8828,0.8636,1.0,0.9275,476dc0901,Jacq,Labrador Retriever,,4,puppy,female,medium,short,2,1,2,1,0,2.0,"Jacq has very strong sense of intruders into her territory, is a very good guard dog for your home. She is active & alert, always guiding and correcting her 3 other sisters behavior. If you need an alert guard dog for your house or farm, Jacq would be very suitable to be your companion. She has 3 other siblings which are as smart as she. Preferably to be adopted together (4 dogs) or 2-by-2. Kindly WhatsApp to me at if you are interested to know more. Please quote name of puppy when inquiry."
0.8811,0.8636,1.0,0.9218,2630db5dc,Carrie,Golden Retriever,Shepherd,9,young,female,medium,medium,1,1,2,1,0,1.0,"Carrie is a gentle sweetheart who loves human company. This beautiful girl would make a wonderful companion - will you give her a chance? Conditions for adoption: 1. No unnecessary tying/caging up. 2. Maintain medical needs (vaccinations, deworming, heartworm prevention etc.) 3. Neutering is compulsory. 4. Allow visits in the initial stages of adoption to ensure dog is adjusting well. 5. Unconditional love :) To help determine if you and the dog you're interested in are a good fit, would appreciate it if you could email/text a brief intro of yourself, your experience with dogs if any, your household situation (what type of home you live in i.e. landed or apartment, whether you have other family members/friends living with you etc.) and any other pertinent info."
0.8808,0.8636,1.0,0.9208,e3a29829f,Blondie,Labrador Retriever,Mixed Breed,5,puppy,female,medium,short,2,1,1,1,0,2.0,"Blondie is one adorable pooch, a bit shy but playful. Her siblings are Tootsie, Goldie and Whiskey. All looking for good homes. They are cross breed and will be medium sized in adulthood. Vaccination and neutering are compulsory. No tying up or caging unless necessary for short period. Please call if interested."
0.8806,0.8636,1.0,0.9201,91fca388a,Baby,Labrador Retriever,Mixed Breed,1,puppy,female,medium,short,1,1,2,1,50,2.0,"I rescue this puppy at a hawker stall near my housing area. She was abandoned and she look lost. She is about 3 weeks old, just started her first meal on soft puppy can food. She is a loves to be around people, loves cuddling on your lap,very energetic, playful little girl. I had took her to the vet and she is in good health, no injuries. I hope she can be fostered/adopted as I cannot continue fostering her. If any of you is interested, please comment below and I`ll get back to you as soon as possible. Thank you."
0.8804,0.8636,1.0,0.9194,37ae0cd69,Diesel,Golden Retriever,Poodle,12,young,male,medium,medium,1,1,2,1,0,2.0,Diesel is a golden doodle that is very active and loving . My dad and step mum had to make a decision to give it up for adoption as my two year old brother isn't getting along with diesel . Diesel is a very loving puppy and we would like a true dog lover to take him to be part of their family.
0.8803,0.8636,1.0,0.9191,ccc88931c,Yogi Boy,Labrador Retriever,Mixed Breed,4,puppy,male,medium,short,1,1,1,1,0,11.0,"Yogi Boy is a handsome pure black labrador mix pup up for adoption. He's slightly wary of new people but once used to you, he's very friendly and playful. He makes very little noise when left by himself. He also has special looking paws, which are longer than most dog's paws. Location at Subang Jaya. If interested to adopt, please contact me at."
0.8798,0.8636,1.0,0.9174,611c6421b,"Jet Black, Sleek Puppies",Labrador Retriever,Mixed Breed,3,puppy,male,medium,short,1,1,2,1,270,4.0,"ADOPTION FEE INCLUDES TWO FINAL VACCINES AND DESEXING. These pups were born in the rain to their stray mother. One of their siblings could not be saved but we took in the mum and her three pups, all of whom inherited her sweet personality. They strongly resemble black labrador pups except they are leaner. Only owners with the time to train and care for puppies will be considered."
0.8797,0.8636,1.0,0.9173,66ac9f1b7,REX,Labrador Retriever,Australian Terrier,3,puppy,male,medium,short,3,3,3,1,200,0.0,"If it were still a puppy, I shall be able to train it for the Home. Otherwise, a well trained pet for adoption."
0.8795,0.8636,1.0,0.9165,be376ea01,Tootie,Labrador Retriever,Mixed Breed,5,puppy,male,medium,short,1,1,2,1,0,1.0,"Tootie is a tad shy with strangers but gets playful once he is familiar with his surroundings. His sisters are Blondie, Goldie and Whisky. They are cross breed and will be medium sized in adulthood. Vaccination and neutering are compulsory. No tying up or caging unless necessary for short periods. Please call if interested."
0.8787,0.8636,1.0,0.9138,19f0ef706,â¥ Borhan Jr. â¥,Labrador Retriever,Mixed Breed,4,puppy,male,medium,short,1,1,2,1,0,7.0,"Introducing handsome little Borhan! ♦ Male puppy, around 4 months old. Has big ears and a droopy face - after checking him, vets suggested a mix of some Labrador genes. ♦ Very friendly boy and fast learner. Eager to do anything for treats! If you're looking for a lap-dog - he's the perfect candidate. Has no regard for his (still growing) size and lays down on human laps right to sleep. ♦ Perfectly fine in the company of people/crowds and other dogs. He loves his kibble and the occasional canned food (not at all fussy about what he's fed). ♦ Playful but not hyper. He does not bark unnecessarily (unless strangers approach gate). Borhan will go ""potty"" in the garden or grass patches only (% success). Never messes up his sleep/play area. ♦ Healthy boy, already de-wormed and vaccinated. Currently too young for neutering. Please drop me an email or SMS/WhatsApp if interested. Details about your past experience with dogs and puppies will be much appreciated. Thank you!"
0.8787,0.8636,1.0,0.9138,88448bdc5,Goldie,Labrador Retriever,Mixed Breed,5,puppy,female,medium,short,1,1,2,1,0,1.0,"Goldie is a very shy dog, and need time to warm up but she loves playing with her furry friends. Her siblings are Blondie, Whisky and Tootsie. Vaccination and neutering are compulsory. No tying up or caging unless necessary for short periods. Please call if interested."
0.8785,0.8636,1.0,0.9131,f53c216e2,Labrador / Beagle Mixed,Labrador Retriever,Beagle,36,adult,male,small,short,3,3,2,1,0,9.0,"Area found: Uptown Damansara on . Male, wearing blue collar, white colour with brown spots, size is smaller than Labrador but bigger than beagle. Kindly drop me an email to briefly describe your family background (who will take care of the dog's daily routine, medical needs, experience with dog, whether you have a current dog at home); how many times can you commit to walk the dog daily? Please allow time for me to attend to your emails."
0.8781,0.8636,1.0,0.9117,1ca147dd8,Joey,Labrador Retriever,,4,puppy,female,medium,short,2,1,2,1,0,2.0,"Joey is no.2 among her siblings, who likes to imitate her eldest sister Jacq in doing things. As alert as Jacq, Joey is very smart in associating with human. She knows just how to make you well entertained! She is bravest among all and very calm in reacting to orders. She usually finishes her every drop of rice and only barks when there's intruder into her territory. If you like to adopt a dog with two-tone colors, and smart enough to guard your house, Joey is a very good choice! If you are interested to adopt Joey, kindly WhatsApp me at for more details."
0.8778,0.8636,1.0,0.9109,2b5249852,Girlie 2015,Labrador Retriever,Mixed Breed,3,puppy,female,medium,short,2,2,2,1,0,5.0,"Girlie is an active puppy and a gourmet eater. She loves good food and she does not eat very much. She is obedient, quiet and lovely. She can run a distance of 3km or more. A good guard dog and a lovely companion."
0.8776,0.8636,1.0,0.9101,041dd606f,Sheba & Babydoll,Labrador Retriever,Mixed Breed,3,puppy,female,medium,short,1,1,2,1,0,5.0,"Sheba and Babydoll are two pure black female pups with an attitude! Both are active and enjoy playing. Sheba is bigger than Babydoll and has matte black fur while Babydoll's fur is silky and shiny. Both have received their first round of vaccination and deworming. Adopters will receive a voucher for 3kg free Eukanuba puppy food. There is no adoption fee, however, interested adopters must agree to spay them when old enough. We can arrange for our regular vet at Taipan USJ, to provide spaying at cheap rate of only RM. This is much cheaper than most vets where price is usually at least RM or more. Amount shall be paid to vet upon adoption and just show the receipt when pup is old enough for spaying. Anyone interested to view the puppies, please contact my mother, Jocelyn at."
0.8774,0.8636,1.0,0.9094,8d50d37f8,Austin,Labrador Retriever,Doberman Pinscher,3,puppy,male,medium,short,3,3,3,1,0,2.0,3mths old male pup for adoption. Very cute beautiful markings. His name is Austin and he would love a family of his own and a home in which to feel safe and loved. He will be furever thankful and you will have a friend for all of his life.
0.8765,0.8636,1.0,0.9065,d2dd62cf2,For Adoption :),Labrador Retriever,Mixed Breed,1,puppy,mixed,medium,short,2,2,2,1,0,2.0,"Have 4 beautiful puppies (as shown in the picture) for adoption. Reason being I already have 2 full size dogs at home and do not have the time to look after so many. Also, any donation would be appreciated :)"
0.8757,0.8636,1.0,0.9038,90dd998e2,Duff,Labrador Retriever,Mixed Breed,2,puppy,male,medium,short,1,1,2,1,0,2.0,"If contacting me via phone, would appreciate text/whatsapp first as it's not always convenient for me to attend to calls. ""Will you give me a loving home? I'm rather shy and afraid of people, but with lots of TLC and patience I'm sure I'll be your biggest fan in no time! My mommy is a stray that my fosterer has been feeding. Not sure who my daddy is - maybe a black labrador? I have two siblings looking for homes as well so do check out their profiles. I will probably grow into a MEDIUM size dog, so please take this into account when you fall in love with my adorable mug yeah?"" Conditions for adoption: 1. No unnecessary tying/caging up. 2. Maintain medical needs (vaccinations, deworming, heartworm prevention etc.) 3. Neuter once old enough (approx 6 months). 4. Puppy-proof your compound. 5. Willing to train and tolerate typical puppy behaviour. 6. Love them unconditionally - puppies aren't toys, cherish them even after they outgrow their cuteness :) To help determine if you and the dog you're interested in are a good fit, would appreciate it if you could email/text with: - A brief intro of yourself - Your experience with dogs if any - Your household situation (what type of home you live in i.e. landed or apartment, whether you have other family members/friends living with you etc.) - Any other pertinent info that will help match you with the right pooch :)"
0.8756,0.8636,1.0,0.9034,4168bfd52,Cary,Labrador Retriever,Mixed Breed,3,puppy,female,medium,short,1,1,2,1,0,2.0,Very lovely and good nature puppy looking for a home sweet home. All her siblings already found home because they are male. Now is the time for her to get a home. Actually many people don't understand that female dogs after spayed are actually better than male dogs. Easier to train and they do not have the problem of marking territories. Male dogs usually will raise their leg and pee here and there everywhere. Experience dog owners who keep both gender of dogs b4 will choose to keep spayed female dog. Commitment to spay her is compulsory. Interested to adopt pls contact 
0.875,0.8636,1.0,0.9016,a906ff5f5,Angel,Labrador Retriever,Mixed Breed,7,puppy,female,medium,short,1,1,1,1,0,6.0,"I've had Angel for a year now, and know all Angel's good traits as below: 1) Once Angel trusts you, she will be a loving and loyal pet, who will greet you VERY excitedly when you come home (even if gone for 5 minutes!). Be warned that she is a licker :) 2) She protectively guards the house, barking when people are near. So she makes a great guard dog/doorbell. 3) She does NOT bark all the time and annoy the neighbours 4) She is intelligent, e.g. she knew how to use my dog potty mat without any training, and will obey if you tell her to sit instead of jumping on you when you're eating. 5) She's not hyperactive but active enough that you can jog with her if you want a jogging companion. 6) Fully vaccinated, dewormed and spayed with no known health problems. However she was previously abandoned and possibly abused by her previous owner, resulting in some occasional aggression due to insecurity and fear. While she is friendly with most people and male dogs, she is occasionally (not always) aggressive when around other FEMALE DOGS, and in SMALL CONFINED SPACES or TIED UP for too long BY HERSELF. Meaning under these conditions, she might growl, snarl and in the case of female dogs, potentially fight with the other dog, but not all the time as she is usually playful with other females once she is used to them. She does NOT have this problem with male dogs and she also does NOT bite people, including children, unless you intentionally agitate her (in which case, you shouldn't be adopting a dog). So if you're an experienced dog owner with an open heart and willing to give an occasionally temperamental dog a loving home, please read on. Interested adopters should: - Be experienced in keeping dogs, as well as able to keep calm and handle somewhat aggressive dogs. Angel can easily be approached by a person she trusts and touched to calm her down as I do this often. - Preferably already have a mature and friendly MALE dog to keep her company, especially if you are frequently away. No female dog owners, for the reasons stated above. I have a male dog whom Angel gets along with perfectly fine. - Preferably have garden/porch for her to run in when you are out. Although she is used to living in a house, she will get agitated if you leave her in the house alone. She is fine if left by herself in a garden whole day or if someone or another dog is with her in the house. I'm giving Angel up not because I cannot stand her behaviour, but because I wish to do more dog rescue work which involves me temporarily keeping unfamiliar dogs, including nursing mothers, at my house, and I do not want her attacking the female dogs. Also because I may plan to move overseas in a few years and will take all my dogs, but Angel will be extremely stressed if in a plane and quarantine for a long period. Thanks for reading, and if interested to give Angel a wonderful forever home, please call Carol at. Located in Subang Jaya."
0.8749,0.8636,1.0,0.9012,352522dbd,Miller & Louisa,Labrador Retriever,German Shepherd Dog,12,young,mixed,medium,medium,1,3,1,1,0,6.0,"Look at these two beauties... they don't understand that their life is about to get really sad unless someone can adopt them... Their names are Miller the white colour and Louisa the black and tan Both are a year old vaccinated and spayed Urgent homes needed owner is very ill he is physically too week to take care of them. Please give them another loving home together. They are playful, loving and very loyal, they don't want to leave their owner. Not cat friendly, don't adopt if you have cats. Thank you for reading about them, have they touched your hearts the way they have touched mine?"
0.8748,0.8636,1.0,0.9009,b3ff03304,Miss Poppy,Labrador Retriever,Mixed Breed,3,puppy,female,medium,short,1,1,1,1,0,3.0,"We found little Miss Poppy hiding under a car by a busy street, she was very naive and came to us after a while. Little poppy has some tiny scars on her scalp and we were told by the neighbors that she has been bullied and beaten by larger dogs, that's why she gets terrified whenever she hears bigger dogs approaching. After fostering her for a few days, her sweet self reappears - she loves to be cuddled and enjoys playing with human. Poppy also learns to poop on newspaper and loves to keep herself clean. We are hoping to look for a loving family who is able to take Poppy in as a family member. To be able to give her the love and care she truly deserves. If you believe you are Poppy's soulmate, please contact  p.s. please check out Poppy's cuteness  her video clips at the following link:"
0.8746,0.8636,1.0,0.9,87a16f3fb,Princess,Labrador Retriever,Mixed Breed,1,puppy,female,medium,short,3,3,2,1,0,5.0,"Beautiful and intelligent puppy looking for a forever home. Understand the simple command like ""sit"". Commitment to spay is compulsory. If you are interested to adopt pls contact Amy"
0.8745,0.8636,1.0,0.8997,a6af385f0,Coco (The Labrador Mix),Labrador Retriever,,5,puppy,female,medium,short,1,1,1,1,0,5.0,"Many thanks to Miss Jasmine from Penang to adopt COCO and promising to give her a new sweet home! I picked up Coco from SPCA 2 weeks after I got another dog Fifi. I'm not very familiar with type of breed as I'm no expert, but according to the SPCA guys, she is a Labrador mix. 5 months, she grew rapidly. She's a bit heavier compared to my other dog and she has strong thigh. She's a loving puppy and most of the times will be playing on her own. She is toilet trained, poo only outside the house and pee only in toilet. She loves to ride in car with air blowing to her face. Coco feds only on Purina Dried Food and canned food on weekends. Unfortunately, Coco is now alone at home as Fifi has been adopted by a new good owner with someone to accompany her all the time. I hope to find a good owner for Coco as well as I love both of them. Reason for me to let go is due to my career which requires me to travel very often now. I have no choice but to let her go with a heavy heart. You can write to me to Nicholas. or sms me at (I’m in meeting most of the time and wont be answering) or BB Pin 21BEE."
0.8741,0.8636,1.0,0.8985,20e4dbf48,Sparkle & Max,Labrador Retriever,Mixed Breed,12,young,female,medium,medium,1,1,1,1,0,2.0,"She was found abandon with a litter of her brothers & sisters, She (Sparkle) is a very affectionate and friendly dog. Likes to be close to humans and frequently seeks attention to be pat and hug. She is easy to train and is a good watch dog but not a good guard dog because she will bark at strangers but then will get friendly very soon. Her brother Max (Black & white)is very active and likes to play a lot and will enjoy roughing out with you. Unlike her sister He is more vocal and will bark at anything that moves. however he is also very friendly. They have been together since birth. They are a perfect pair for a growing family."
0.874,0.8636,1.0,0.8983,a8e6ad61c,Jane,Labrador Retriever,,4,puppy,female,medium,short,2,1,2,1,0,2.0,"Jane is the youngest among her 4 siblings, the cutest and most submissive among all. She just likes to sit at the corner, ignoring her 4 elders sisters who would tease her and invite her to play, but she would just quietly enjoying the peacefulness by herself. She is as ""manja"" as her elder sister, Jess. She is an ideal pet if you just want to pamper your pet and make her your soul companion. She loves cuddling all by herself in one corner, ignoring the noise from her surroundings. Please WhatsApp me at if you are interested to adopt Jane, the cutie!"
0.874,0.8636,1.0,0.8983,fff4a6420,Zander,Golden Retriever,Mixed Breed,2,puppy,male,medium,short,2,1,2,1,0,4.0,"Zander is super cute and cuddly. Active, healthy and playful. He is also quiet and is happy when given a toy to play with. Makes a great companion."
0.8739,0.8636,1.0,0.8977,7115607a0,Sammy And Maxie,Golden Retriever,Labrador Retriever,5,puppy,mixed,medium,short,1,1,2,1,0,2.0,"A contrator brought a pair of cute puppy...they are so adorable. Since we have Sugar, its gonna be a full house to have another 2 more puppies in the house. They are so loveable and funny, easy to manage and i'll make an effort to toilet trainning them. After 2 months, they are well adjusted living in the house and make my life easier because they are well trained to stay in the house. Yet, my husband still think we have to let go Sammy to another wonderful pet lover that stay around Labuan."
0.8737,0.8636,1.0,0.8973,8483b2161,Popcorn,Labrador Retriever,Husky,4,puppy,female,medium,short,1,1,2,1,0,3.0,"Popcorn was found wandering around the SS2 food center on Sept 5 evening. From info given by the stall owners there, she had been wandering around there for 2 weeks, and is believed to be owned by someone as she previously wore a collar. She has since been taken to Gasing Veterinary Hospital for de-worming and eye drops and she will be vaccinated before adoption. Popcorn is a very lively and alert puppy who will thrive with loving care. She looks very much like a Labrador at first glance, but her eye color hint of a Husky mix too. She is very intelligent and all signs are that she will grow to be a superb guard dog for the family. I cannot keep Popcorn as I already have 2 dogs in the house."
0.8728,0.8636,1.0,0.8942,bd56db16a,Ebony & Whisper,Labrador Retriever,Mixed Breed,4,puppy,female,medium,short,3,3,3,1,0,5.0,"Ebony and Whisper are cute little abandoned puppies, full of beans and love, need a home, they are really cute, please adopt them"
0.8728,0.8636,1.0,0.8941,765bd139e,Charcoal,Labrador Retriever,Mixed Breed,6,puppy,female,medium,short,1,1,1,1,0,5.0,"Charcoal - a Labrador mix breed,6 months old, female,short legs and shiny coat. Strong,energetic,friendly and playful. . Rescued from being abused for about 2 months long just because of chewing the owner's slippers. Used to drip lots of slaver when she feel excited. Being socialized after I've rescued her. Likes people to bring her for a walk daily."
0.8724,0.8636,1.0,0.8928,ec2bb7160,Mandy,Labrador Retriever,Mixed Breed,3,puppy,female,medium,short,1,1,2,1,0,4.0,"Mandy is an adorable puppy, very tame and love human touch. She is faithful and devoted to her master. Mandy has a pair of blue colour eyes, very unique. If you are interested, please call Ms Fan at."
0.8715,0.8636,1.0,0.8898,2b5a3c81d,Retriever,Golden Retriever,,12,young,female,medium,medium,1,1,1,1,0,3.0,"This little cutie is looking for a forever home. She is healthy, friendly and loving. Please do call me at. Serious adopter only. Tq"
0.871,0.8636,1.0,0.8881,b69d479cf,Ole,Labrador Retriever,Mixed Breed,3,puppy,female,medium,short,1,1,2,1,0,2.0,I have a pair of beautiful eyes.Every one said my eyes are special. I look much better in real life than in photos. I am well behave and looking for a home sweet home. Commitment to spay is compulsory. If you are interested to adopt me pls contact Rachel
0.8704,0.8636,1.0,0.8863,f36876126,Kaya,Labrador Retriever,Spitz,3,puppy,male,medium,short,3,3,3,1,0,2.0,"Kaya is a sweet little boy whos beautiful sister was killed, we are still too sad about this. Little Cashew the cutest little baby is dead, because there was no one to step up and foster, we are heart broken, there are none of us at SOS who don't have dogs or cats, we need others to step up and help poor little abandoned puppies please before another one dies. Cashew was my favourite look at that little face and now we will never see her again, i am so sad, please can someone help, don't turn away and feel guilty all day, do something please, we cannot physically do it all... we urgently need an adopter for Kaya thank you"
0.8704,0.8636,1.0,0.8861,a92b06d0f,Pippy And Pups,Golden Retriever,Mixed Breed,12,young,mixed,medium,medium,3,3,2,1,0,9.0,"URGENT ADOPTION!!! Can't foster them due to restriction of the local authority. Abandoned dog appeared out of nowhere, sign of being leashed found around its neck. Was pregnant. TWO pups found along roadside  15 June 09. 1 male and 1 female, about 3 weeks+ old. A kind person picked them up and put them under a tree. Very beautiful and perfect hair coat condition with no injury at all. Free from ticks and fleas when first came, but for now, not sure. Now roaming outside my house compound. Very good guard dog, will bark at strangers but will not bully pets of your own. Very lovely! Will follow you even without a leash! Smart looking and energetic. Weight: ~15kg Mixed a little with G.Retriever with very beautiful tail and hair colour ** To adopt separately, please wait for the pups to wean."
0.8701,0.8636,1.0,0.8853,6521d5af1,Leng Leng Aka Misty Rain,Labrador Retriever,Mixed Breed,3,puppy,female,medium,short,1,1,2,1,0,4.0,"A Lab Mix Playful, energetic, smart and alert! Adopter must be willing to spay!"
0.87,0.8636,1.0,0.8847,dac60bd9c,Hannah,Labrador Retriever,Mixed Breed,3,puppy,female,medium,short,3,3,2,1,0,1.0,Lovely puppy looking for a forever home. Commitment to spay is compulsory. Interested to adopt pls contact Rachel
0.8699,0.8636,1.0,0.8846,72bfc767c,Goldie,Labrador Retriever,Mixed Breed,12,young,female,medium,medium,3,3,3,1,0,2.0,I have decided to adopt Goldie and welcome her to our house!!!! Goldy is doing really well in her new home and is really active nowdays!
0.8693,0.8636,1.0,0.8825,994450113,Charlie,Labrador Retriever,Mixed Breed,2,puppy,male,medium,short,2,1,2,1,0,2.0,Charlie was adopted last night and went to a loving home. Thanks again to Petfinder for providing such a great service
0.8693,0.8636,1.0,0.8824,094ba0325,,Golden Retriever,Spaniel,3,puppy,mixed,medium,short,3,3,3,1,0,3.0,"3 lost/abandoned puppies found their way to our home. Interested adopters are welcome to provide them with new loving home. Pick up location is Senai, Johor Bahru. No payment charges required just promises of tender loving care =)"
0.8682,0.8455,0.6,0.9212,5c28a8cec,Java,Mixed Breed,Labrador Retriever,8,young,male,medium,short,3,3,1,1,0,3.0,"Java is a handsome and good natured puppy. He was found with Tara, the black lab which we believed is his mother. They were both believed to be abandoned at shops in Ara Damansara. Java is good natured and alert watchdog. We hope they can be rehomed together. Neutering cost to be borne by adopter. Please give him a home."
0.868,0.8636,1.0,0.8783,412d6c47d,BUNNY,Labrador Retriever,Mixed Breed,4,puppy,male,medium,short,2,1,1,1,50,3.0,Little bunny is a very intelligent boy.He oves to hop and play.Hes very good with other dogs and just loves people.Hes able to come up with his own games.Potty trained and lots of fun
0.8674,0.8636,1.0,0.8763,5c7d61133,Nafa And Siblings,Labrador Retriever,Mixed Breed,1,puppy,mixed,medium,short,2,1,2,1,0,5.0,"5 siblings were given away by a coffee shop owner to Aunty Kiew in Kajang. Being a lady with a heart of gold, Aunty Kiew accepted them without hesitation. Now we hope that we are able to find good homes for them"
0.8671,0.8364,1.0,0.9388,e276617a4,,Labrador Retriever,,8,young,male,large,short,1,1,2,1,0,3.0,He is a lovely pure breed Labrador looking for a loving and caring home. Only serious adopters will be considered..
